Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 1,C2,,Sabera,wyrm,03/02/2026,wyrm,Rail Heist,RAIL HEIST: Beat 5 levels,RAIL HEIST: Beat 5 levels,12.4,12.4,4,Other,https://youtu.be/zYIsKI03svU?t=263,https://youtu.be/zYIsKI03svU?t=1005,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,General,Cherry disk 3 games on this card,Cherry disk {{cherry_count}} games on this card,,,,Diagonal,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Magic Garden,"MAGIC GARDEN: Save 100 oppies before scoring 4,000 points","MAGIC GARDEN: Save 100 oppies before scoring 4,000 points",4.8,10.5,3,Other,https://youtu.be/zYIsKI03svU?t=603,https://youtu.be/zYIsKI03svU?t=894,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Vainger,VAINGER: Obtain the Multi Mod from Latom Sector,VAINGER: Obtain the Multi Mod from Latom Sector,19.9,30.4,7,Diagonal,https://youtu.be/zYIsKI03svU?t=894,https://youtu.be/zYIsKI03svU?t=2090,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Campanella 2,CAMPANELLA 2: Obtain 6 power-up items in one run (square icons on left of screen),CAMPANELLA 2: Obtain 6 power-up items in one run (square icons on left of screen),29.4,75.2,11,Other,https://youtu.be/zYIsKI03svU?t=3012,https://youtu.be/zYIsKI03svU?t=4774,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Combatants,COMBATANTS: ANTS-ANTS allowed; Beat Commando & Spidernest,COMBATANTS: ANTS-ANTS allowed; Beat {{ants_med}} & {{ants_med}},,,,Diagonal,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Lords of Diskonia,LORDS OF DISKONIA: Win 2 battles in a Full War,LORDS OF DISKONIA: Win 2 battles in a Full War,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Porgy,PORGY: Show 20%+ Completion in the library,PORGY: Show 20%+ Completion in the library,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,wyrm,Pilot Quest,PILOT QUEST: Make a friend at the crash site,PILOT QUEST: Make a friend at the crash site,47.5,92,12,Other,https://youtu.be/zYIsKI03svU?t=2932,https://youtu.be/zYIsKI03svU?t=5781,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,General,Collect 6 gifts from games on this card,Collect {{gift_count}} gifts from games on this card,,,,Diagonal,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Seaside Drive,"SEASIDE DRIVE: Score 70,000+ points","SEASIDE DRIVE: Score 70,000+ points",49.6,51.6,4,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=337,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3311,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,General,Gold disk 3 games on this card,Gold disk {{gold_count}} games on this card,12.5,83.6,14,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4480,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=5229,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Bushido Ball,BUSHIDO BALL: Win a 10+ point match (laws on),BUSHIDO BALL: Win a 10+ point match (laws on),6.3,46.8,3,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=2645,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3023,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Onion Delivery,ONION DELIVERY: Complete 2 days in a run with 10+ deliveries,ONION DELIVERY: Complete 2 days in a run with 10+ deliveries,40.5,40.5,2,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=213,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=2645,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Avianos,AVIANOS: BLUE-BEAK allowed; Win the campaign Fledgling game. You must always select Quetzal when available,AVIANOS: BLUE-BEAK allowed; Win the campaign Fledgling game. You must always select {{ancestor}} when available,8.2,76.7,13,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4326,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4815,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,glove,Velgress,VELGRESS: Clear out a shop's stock,VELGRESS: Clear out a shop's stock,5.4,52.2,5,Other,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3023,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=3345,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
Week 1,A,1,Flesh177,glove,03/03/2026,Flesh177,Cyber Owls,CYBER OWLS: Show 2000+ points at HQ without playing Congo,CYBER OWLS: Show 2000+ points at HQ without playing Congo,0.1,68.5,11,Diagonal,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4318,https://www.youtube.com/watch?v=ndf2M8iMDfI&t=4326,https://ufo50.bingo/match/HJ4KXhDGTYm4IG3wXrwr2w,1772552848
